trip_id,arrival_time,departure_time,stop_id,stop_sequence
naha7_trip_12,17:30:00,17:30:00,naha7_stop_31,31
naha7_trip_12,17:30:00,17:30:00,naha7_stop_32,32
naha7_trip_12,17:30:00,17:30:00,naha7_stop_33,33
naha7_trip_12,17:30:00,17:30:00,S4397,34
naha7_trip_12,17:30:00,17:30:00,naha7_stop_35,35
naha7_trip_12,17:30:00,17:30:00,naha7_stop_36,36
naha7_trip_12,17:30:00,17:30:00,S3203,37
naha7_trip_12,17:30:00,17:30:00,naha7_stop_38,38
naha7_trip_13,18:20:00,18:20:00,naha7_stop_1,1
naha7_trip_13,18:20:00,18:20:00,naha7_stop_2,2
naha7_trip_13,18:20:00,18:20:00,naha7_stop_3,3
naha7_trip_13,18:20:00,18:20:00,naha7_stop_4,4
naha7_trip_13,18:20:00,18:20:00,S4350,5
naha7_trip_13,18:20:00,18:20:00,S3594,6
naha7_trip_13,18:20:00,18:20:00,naha7_stop_7,7
naha7_trip_13,18:20:00,18:20:00,naha7_stop_8,8
naha7_trip_13,18:20:00,18:20:00,naha7_stop_9,9
naha7_trip_13,18:20:00,18:20:00,naha7_stop_10,10
naha7_trip_13,18:20:00,18:20:00,naha7_stop_11,11
naha7_trip_13,18:20:00,18:20:00,naha7_stop_12,12
naha7_trip_13,18:20:00,18:20:00,naha7_stop_13,13
naha7_trip_13,18:20:00,18:20:00,naha7_stop_14,14
naha7_trip_13,18:20:00,18:20:00,naha7_stop_15,15
naha7_trip_13,18:20:00,18:20:00,naha7_stop_16,16
naha7_trip_13,18:20:00,18:20:00,naha7_stop_17,17
naha7_trip_13,18:20:00,18:20:00,naha7_stop_18,18
naha7_trip_13,18:20:00,18:20:00,S3245,19
naha7_trip_13,18:20:00,18:20:00,naha7_stop_20,20
naha7_trip_13,18:20:00,18:20:00,naha7_stop_21,21
naha7_trip_13,18:20:00,18:20:00,naha7_stop_22,22
naha7_trip_13,18:20:00,18:20:00,naha7_stop_23,23
naha7_trip_13,18:20:00,18:20:00,S3399,24
naha7_trip_13,18:20:00,18:20:00,naha7_stop_25,25
naha7_trip_13,18:20:00,18:20:00,naha7_stop_26,26
naha7_trip_13,18:20:00,18:20:00,naha7_stop_27,27
naha7_trip_13,18:20:00,18:20:00,naha7_stop_28,28
naha7_trip_13,18:20:00,18:20:00,naha7_stop_29,29
naha7_trip_13,18:20:00,18:20:00,S3342,30
naha7_trip_13,18:20:00,18:20:00,naha7_stop_31,31
naha7_trip_13,18:20:00,18:20:00,naha7_stop_32,32
naha7_trip_13,18:20:00,18:20:00,naha7_stop_33,33
naha7_trip_13,18:20:00,18:20:00,S4397,34
naha7_trip_13,18:20:00,18:20:00,naha7_stop_35,35
naha7_trip_13,18:20:00,18:20:00,naha7_stop_36,36
naha7_trip_13,18:20:00,18:20:00,S3203,37
naha7_trip_13,18:20:00,18:20:00,naha7_stop_38,38
naha7_trip_14,19:30:00,19:30:00,naha7_stop_1,1
naha7_trip_14,19:30:00,19:30:00,naha7_stop_2,2
naha7_trip_14,19:30:00,19:30:00,naha7_stop_3,3
naha7_trip_14,19:30:00,19:30:00,naha7_stop_4,4
naha7_trip_14,19:30:00,19:30:00,S4350,5
naha7_trip_14,19:30:00,19:30:00,S3594,6
naha7_trip_14,19:30:00,19:30:00,naha7_stop_7,7
naha7_trip_14,19:30:00,19:30:00,naha7_stop_8,8
naha7_trip_14,19:30:00,19:30:00,naha7_stop_9,9
naha7_trip_14,19:30:00,19:30:00,naha7_stop_10,10
naha7_trip_14,19:30:00,19:30:00,naha7_stop_11,11
naha7_trip_14,19:30:00,19:30:00,naha7_stop_12,12
naha7_trip_14,19:30:00,19:30:00,naha7_stop_13,13
naha7_trip_14,19:30:00,19:30:00,naha7_stop_14,14
naha7_trip_14,19:30:00,19:30:00,naha7_stop_15,15
naha7_trip_14,19:30:00,19:30:00,naha7_stop_16,16
naha7_trip_14,19:30:00,19:30:00,naha7_stop_17,17
naha7_trip_14,19:30:00,19:30:00,naha7_stop_18,18
naha7_trip_14,19:30:00,19:30:00,S3245,19
naha7_trip_14,19:30:00,19:30:00,naha7_stop_20,20
naha7_trip_14,19:30:00,19:30:00,naha7_stop_21,21
naha7_trip_14,19:30:00,19:30:00,naha7_stop_22,22
naha7_trip_14,19:30:00,19:30:00,naha7_stop_23,23
naha7_trip_14,19:30:00,19:30:00,S3399,24
naha7_trip_14,19:30:00,19:30:00,naha7_stop_25,25
naha7_trip_14,19:30:00,19:30:00,naha7_stop_26,26
naha7_trip_14,19:30:00,19:30:00,naha7_stop_27,27
naha7_trip_14,19:30:00,19:30:00,naha7_stop_28,28
naha7_trip_14,19:30:00,19:30:00,naha7_stop_29,29
naha7_trip_14,19:30:00,19:30:00,S3342,30
naha7_trip_14,19:30:00,19:30:00,naha7_stop_31,31
naha7_trip_14,19:30:00,19:30:00,naha7_stop_32,32
naha7_trip_14,19:30:00,19:30:00,naha7_stop_33,33
naha7_trip_14,19:30:00,19:30:00,S4397,34
naha7_trip_14,19:30:00,19:30:00,naha7_stop_35,35
naha7_trip_14,19:30:00,19:30:00,naha7_stop_36,36
naha7_trip_14,19:30:00,19:30:00,S3203,37
naha7_trip_14,19:30:00,19:30:00,naha7_stop_38,38
naha7_trip_15,07:22:00,07:22:00,naha7_stop_1,1
naha7_trip_15,07:22:00,07:22:00,naha7_stop_2,2
naha7_trip_15,07:22:00,07:22:00,naha7_stop_3,3
naha7_trip_15,07:22:00,07:22:00,naha7_stop_4,4
naha7_trip_15,07:22:00,07:22:00,S4350,5
naha7_trip_15,07:22:00,07:22:00,S3594,6
naha7_trip_15,07:22:00,07:22:00,naha7_stop_7,7
naha7_trip_15,07:22:00,07:22:00,naha7_stop_8,8
naha7_trip_15,07:22:00,07:22:00,naha7_stop_9,9
naha7_trip_15,07:22:00,07:22:00,naha7_stop_10,10
naha7_trip_15,07:22:00,07:22:00,naha7_stop_11,11
naha7_trip_15,07:22:00,07:22:00,naha7_stop_12,12
naha7_trip_15,07:22:00,07:22:00,naha7_stop_13,13
naha7_trip_15,07:22:00,07:22:00,naha7_stop_14,14
naha7_trip_15,07:22:00,07:22:00,naha7_stop_15,15
naha7_trip_15,07:22:00,07:22:00,naha7_stop_16,16
naha7_trip_15,07:22:00,07:22:00,naha7_stop_17,17
naha7_trip_15,07:22:00,07:22:00,naha7_stop_18,18
naha7_trip_15,07:22:00,07:22:00,S3245,19
naha7_trip_15,07:22:00,07:22:00,naha7_stop_20,20
naha7_trip_15,07:22:00,07:22:00,naha7_stop_21,21
naha7_trip_15,07:22:00,07:22:00,naha7_stop_22,22
naha7_trip_15,07:22:00,07:22:00,naha7_stop_23,23
naha7_trip_15,07:22:00,07:22:00,S3399,24
naha7_trip_15,07:22:00,07:22:00,naha7_stop_25,25
naha7_trip_15,07:22:00,07:22:00,naha7_stop_26,26
naha7_trip_15,07:22:00,07:22:00,naha7_stop_27,27
naha7_trip_15,07:22:00,07:22:00,naha7_stop_28,28
naha7_trip_15,07:22:00,07:22:00,naha7_stop_29,29
naha7_trip_15,07:22:00,07:22:00,S3342,30
naha7_trip_15,07:22:00,07:22:00,naha7_stop_31,31
naha7_trip_15,07:22:00,07:22:00,naha7_stop_32,32
naha7_trip_15,07:22:00,07:22:00,naha7_stop_33,33
naha7_trip_15,07:22:00,07:22:00,S4397,34
naha7_trip_15,07:22:00,07:22:00,naha7_stop_35,35
naha7_trip_15,07:22:00,07:22:00,naha7_stop_36,36
naha7_trip_15,07:22:00,07:22:00,S3203,37
naha7_trip_15,07:22:00,07:22:00,naha7_stop_38,38
naha7_trip_16,07:54:00,07:54:00,naha7_stop_1,1
naha7_trip_16,07:54:00,07:54:00,naha7_stop_2,2
naha7_trip_16,07:54:00,07:54:00,naha7_stop_3,3
naha7_trip_16,07:54:00,07:54:00,naha7_stop_4,4
naha7_trip_16,07:54:00,07:54:00,S4350,5
naha7_trip_16,07:54:00,07:54:00,S3594,6
naha7_trip_16,07:54:00,07:54:00,naha7_stop_7,7
naha7_trip_16,07:54:00,07:54:00,naha7_stop_8,8
naha7_trip_16,07:54:00,07:54:00,naha7_stop_9,9
naha7_trip_16,07:54:00,07:54:00,naha7_stop_10,10
naha7_trip_16,07:54:00,07:54:00,naha7_stop_11,11
naha7_trip_16,07:54:00,07:54:00,naha7_stop_12,12
naha7_trip_16,07:54:00,07:54:00,naha7_stop_13,13
naha7_trip_16,07:54:00,07:54:00,naha7_stop_14,14
naha7_trip_16,07:54:00,07:54:00,naha7_stop_15,15
naha7_trip_16,07:54:00,07:54:00,naha7_stop_16,16
naha7_trip_16,07:54:00,07:54:00,naha7_stop_17,17
naha7_trip_16,07:54:00,07:54:00,naha7_stop_18,18
naha7_trip_16,07:54:00,07:54:00,S3245,19
naha7_trip_16,07:54:00,07:54:00,naha7_stop_20,20
naha7_trip_16,07:54:00,07:54:00,naha7_stop_21,21
naha7_trip_16,07:54:00,07:54:00,naha7_stop_22,22
naha7_trip_16,07:54:00,07:54:00,naha7_stop_23,23
naha7_trip_16,07:54:00,07:54:00,S3399,24
naha7_trip_16,07:54:00,07:54:00,naha7_stop_25,25
naha7_trip_16,07:54:00,07:54:00,naha7_stop_26,26
naha7_trip_16,07:54:00,07:54:00,naha7_stop_27,27
naha7_trip_16,07:54:00,07:54:00,naha7_stop_28,28
naha7_trip_16,07:54:00,07:54:00,naha7_stop_29,29
naha7_trip_16,07:54:00,07:54:00,S3342,30
naha7_trip_16,07:54:00,07:54:00,naha7_stop_31,31
naha7_trip_16,07:54:00,07:54:00,naha7_stop_32,32
naha7_trip_16,07:54:00,07:54:00,naha7_stop_33,33
naha7_trip_16,07:54:00,07:54:00,S4397,34
naha7_trip_16,07:54:00,07:54:00,naha7_stop_35,35
naha7_trip_16,07:54:00,07:54:00,naha7_stop_36,36
naha7_trip_16,07:54:00,07:54:00,S3203,37
naha7_trip_16,07:54:00,07:54:00,naha7_stop_38,38
naha7_trip_17,08:33:00,08:33:00,naha7_stop_1,1
naha7_trip_17,08:33:00,08:33:00,naha7_stop_2,2
naha7_trip_17,08:33:00,08:33:00,naha7_stop_3,3
naha7_trip_17,08:33:00,08:33:00,naha7_stop_4,4
naha7_trip_17,08:33:00,08:33:00,S4350,5
naha7_trip_17,08:33:00,08:33:00,S3594,6
naha7_trip_17,08:33:00,08:33:00,naha7_stop_7,7
naha7_trip_17,08:33:00,08:33:00,naha7_stop_8,8
naha7_trip_17,08:33:00,08:33:00,naha7_stop_9,9
naha7_trip_17,08:33:00,08:33:00,naha7_stop_10,10
naha7_trip_17,08:33:00,08:33:00,naha7_stop_11,11
naha7_trip_17,08:33:00,08:33:00,naha7_stop_12,12
naha7_trip_17,08:33:00,08:33:00,naha7_stop_13,13
naha7_trip_17,08:33:00,08:33:00,naha7_stop_14,14
naha7_trip_17,08:33:00,08:33:00,naha7_stop_15,15
naha7_trip_17,08:33:00,08:33:00,naha7_stop_16,16
naha7_trip_17,08:33:00,08:33:00,naha7_stop_17,17
naha7_trip_17,08:33:00,08:33:00,naha7_stop_18,18
naha7_trip_17,08:33:00,08:33:00,S3245,19
naha7_trip_17,08:33:00,08:33:00,naha7_stop_20,20
naha7_trip_17,08:33:00,08:33:00,naha7_stop_21,21
naha7_trip_17,08:33:00,08:33:00,naha7_stop_22,22
naha7_trip_17,08:33:00,08:33:00,naha7_stop_23,23
naha7_trip_17,08:33:00,08:33:00,S3399,24
naha7_trip_17,08:33:00,08:33:00,naha7_stop_25,25
naha7_trip_17,08:33:00,08:33:00,naha7_stop_26,26
naha7_trip_17,08:33:00,08:33:00,naha7_stop_27,27
naha7_trip_17,08:33:00,08:33:00,naha7_stop_28,28
naha7_trip_17,08:33:00,08:33:00,naha7_stop_29,29
naha7_trip_17,08:33:00,08:33:00,S3342,30
naha7_trip_17,08:33:00,08:33:00,naha7_stop_31,31
naha7_trip_17,08:33:00,08:33:00,naha7_stop_32,32
naha7_trip_17,08:33:00,08:33:00,naha7_stop_33,33
naha7_trip_17,08:33:00,08:33:00,S4397,34
naha7_trip_17,08:33:00,08:33:00,naha7_stop_35,35
naha7_trip_17,08:33:00,08:33:00,naha7_stop_36,36
naha7_trip_17,08:33:00,08:33:00,S3203,37
naha7_trip_17,08:33:00,08:33:00,naha7_stop_38,38
naha7_trip_18,09:55:00,09:55:00,naha7_stop_1,1
naha7_trip_18,09:55:00,09:55:00,naha7_stop_2,2
naha7_trip_18,09:55:00,09:55:00,naha7_stop_3,3
naha7_trip_18,09:55:00,09:55:00,naha7_stop_4,4
naha7_trip_18,09:55:00,09:55:00,S4350,5
naha7_trip_18,09:55:00,09:55:00,S3594,6
naha7_trip_18,09:55:00,09:55:00,naha7_stop_7,7
naha7_trip_18,09:55:00,09:55:00,naha7_stop_8,8
naha7_trip_18,09:55:00,09:55:00,naha7_stop_9,9
naha7_trip_18,09:55:00,09:55:00,naha7_stop_10,10
naha7_trip_18,09:55:00,09:55:00,naha7_stop_11,11
naha7_trip_18,09:55:00,09:55:00,naha7_stop_12,12
naha7_trip_18,09:55:00,09:55:00,naha7_stop_13,13
naha7_trip_18,09:55:00,09:55:00,naha7_stop_14,14
naha7_trip_18,09:55:00,09:55:00,naha7_stop_15,15
naha7_trip_18,09:55:00,09:55:00,naha7_stop_16,16
naha7_trip_18,09:55:00,09:55:00,naha7_stop_17,17
naha7_trip_18,09:55:00,09:55:00,naha7_stop_18,18
naha7_trip_18,09:55:00,09:55:00,S3245,19
naha7_trip_18,09:55:00,09:55:00,naha7_stop_20,20
naha7_trip_18,09:55:00,09:55:00,naha7_stop_21,21
naha7_trip_18,09:55:00,09:55:00,naha7_stop_22,22
naha7_trip_18,09:55:00,09:55:00,naha7_stop_23,23
naha7_trip_18,09:55:00,09:55:00,S3399,24
naha7_trip_18,09:55:00,09:55:00,naha7_stop_25,25
naha7_trip_18,09:55:00,09:55:00,naha7_stop_26,26
naha7_trip_18,09:55:00,09:55:00,naha7_stop_27,27
naha7_trip_18,09:55:00,09:55:00,naha7_stop_28,28
naha7_trip_18,09:55:00,09:55:00,naha7_stop_29,29
naha7_trip_18,09:55:00,09:55:00,S3342,30
naha7_trip_18,09:55:00,09:55:00,naha7_stop_31,31
naha7_trip_18,09:55:00,09:55:00,naha7_stop_32,32
naha7_trip_18,09:55:00,09:55:00,naha7_stop_33,33
naha7_trip_18,09:55:00,09:55:00,S4397,34
naha7_trip_18,09:55:00,09:55:00,naha7_stop_35,35
naha7_trip_18,09:55:00,09:55:00,naha7_stop_36,36
naha7_trip_18,09:55:00,09:55:00,S3203,37
naha7_trip_18,09:55:00,09:55:00,naha7_stop_38,38
naha7_trip_19,10:23:00,10:23:00,naha7_stop_1,1
naha7_trip_19,10:23:00,10:23:00,naha7_stop_2,2
naha7_trip_19,10:23:00,10:23:00,naha7_stop_3,3
naha7_trip_19,10:23:00,10:23:00,naha7_stop_4,4
naha7_trip_19,10:23:00,10:23:00,S4350,5
naha7_trip_19,10:23:00,10:23:00,S3594,6
naha7_trip_19,10:23:00,10:23:00,naha7_stop_7,7
naha7_trip_19,10:23:00,10:23:00,naha7_stop_8,8
naha7_trip_19,10:23:00,10:23:00,naha7_stop_9,9
naha7_trip_19,10:23:00,10:23:00,naha7_stop_10,10
naha7_trip_19,10:23:00,10:23:00,naha7_stop_11,11
naha7_trip_19,10:23:00,10:23:00,naha7_stop_12,12
naha7_trip_19,10:23:00,10:23:00,naha7_stop_13,13
naha7_trip_19,10:23:00,10:23:00,naha7_stop_14,14
naha7_trip_19,10:23:00,10:23:00,naha7_stop_15,15
naha7_trip_19,10:23:00,10:23:00,naha7_stop_16,16
naha7_trip_19,10:23:00,10:23:00,naha7_stop_17,17
naha7_trip_19,10:23:00,10:23:00,naha7_stop_18,18
naha7_trip_19,10:23:00,10:23:00,S3245,19
naha7_trip_19,10:23:00,10:23:00,naha7_stop_20,20
naha7_trip_19,10:23:00,10:23:00,naha7_stop_21,21
naha7_trip_19,10:23:00,10:23:00,naha7_stop_22,22
naha7_trip_19,10:23:00,10:23:00,naha7_stop_23,23
naha7_trip_19,10:23:00,10:23:00,S3399,24
naha7_trip_19,10:23:00,10:23:00,naha7_stop_25,25
naha7_trip_19,10:23:00,10:23:00,naha7_stop_26,26
naha7_trip_19,10:23:00,10:23:00,naha7_stop_27,27
naha7_trip_19,10:23:00,10:23:00,naha7_stop_28,28
naha7_trip_19,10:23:00,10:23:00,naha7_stop_29,29
naha7_trip_19,10:23:00,10:23:00,S3342,30
naha7_trip_19,10:23:00,10:23:00,naha7_stop_31,31
naha7_trip_19,10:23:00,10:23:00,naha7_stop_32,32
naha7_trip_19,10:23:00,10:23:00,naha7_stop_33,33
naha7_trip_19,10:23:00,10:23:00,S4397,34
naha7_trip_19,10:23:00,10:23:00,naha7_stop_35,35
naha7_trip_19,10:23:00,10:23:00,naha7_stop_36,36
naha7_trip_19,10:23:00,10:23:00,S3203,37
naha7_trip_19,10:23:00,10:23:00,naha7_stop_38,38
naha7_trip_20,11:23:00,11:23:00,naha7_stop_1,1
naha7_trip_20,11:23:00,11:23:00,naha7_stop_2,2
naha7_trip_20,11:23:00,11:23:00,naha7_stop_3,3
naha7_trip_20,11:23:00,11:23:00,naha7_stop_4,4
naha7_trip_20,11:23:00,11:23:00,S4350,5
naha7_trip_20,11:23:00,11:23:00,S3594,6
naha7_trip_20,11:23:00,11:23:00,naha7_stop_7,7
naha7_trip_20,11:23:00,11:23:00,naha7_stop_8,8
naha7_trip_20,11:23:00,11:23:00,naha7_stop_9,9
naha7_trip_20,11:23:00,11:23:00,naha7_stop_10,10
naha7_trip_20,11:23:00,11:23:00,naha7_stop_11,11
naha7_trip_20,11:23:00,11:23:00,naha7_stop_12,12
naha7_trip_20,11:23:00,11:23:00,naha7_stop_13,13
naha7_trip_20,11:23:00,11:23:00,naha7_stop_14,14
naha7_trip_20,11:23:00,11:23:00,naha7_stop_15,15
naha7_trip_20,11:23:00,11:23:00,naha7_stop_16,16
naha7_trip_20,11:23:00,11:23:00,naha7_stop_17,17
naha7_trip_20,11:23:00,11:23:00,naha7_stop_18,18
naha7_trip_20,11:23:00,11:23:00,S3245,19
naha7_trip_20,11:23:00,11:23:00,naha7_stop_20,20
naha7_trip_20,11:23:00,11:23:00,naha7_stop_21,21
naha7_trip_20,11:23:00,11:23:00,naha7_stop_22,22
naha7_trip_20,11:23:00,11:23:00,naha7_stop_23,23
naha7_trip_20,11:23:00,11:23:00,S3399,24
naha7_trip_20,11:23:00,11:23:00,naha7_stop_25,25
naha7_trip_20,11:23:00,11:23:00,naha7_stop_26,26
naha7_trip_20,11:23:00,11:23:00,naha7_stop_27,27
naha7_trip_20,11:23:00,11:23:00,naha7_stop_28,28
naha7_trip_20,11:23:00,11:23:00,naha7_stop_29,29
naha7_trip_20,11:23:00,11:23:00,S3342,30
naha7_trip_20,11:23:00,11:23:00,naha7_stop_31,31
naha7_trip_20,11:23:00,11:23:00,naha7_stop_32,32
naha7_trip_20,11:23:00,11:23:00,naha7_stop_33,33
naha7_trip_20,11:23:00,11:23:00,S4397,34
naha7_trip_20,11:23:00,11:23:00,naha7_stop_35,35
naha7_trip_20,11:23:00,11:23:00,naha7_stop_36,36
naha7_trip_20,11:23:00,11:23:00,S3203,37
naha7_trip_20,11:23:00,11:23:00,naha7_stop_38,38
naha7_trip_21,13:04:00,13:04:00,naha7_stop_1,1
naha7_trip_21,13:04:00,13:04:00,naha7_stop_2,2
naha7_trip_21,13:04:00,13:04:00,naha7_stop_3,3
naha7_trip_21,13:04:00,13:04:00,naha7_stop_4,4
naha7_trip_21,13:04:00,13:04:00,S4350,5
naha7_trip_21,13:04:00,13:04:00,S3594,6
naha7_trip_21,13:04:00,13:04:00,naha7_stop_7,7
naha7_trip_21,13:04:00,13:04:00,naha7_stop_8,8
naha7_trip_21,13:04:00,13:04:00,naha7_stop_9,9
naha7_trip_21,13:04:00,13:04:00,naha7_stop_10,10
naha7_trip_21,13:04:00,13:04:00,naha7_stop_11,11
naha7_trip_21,13:04:00,13:04:00,naha7_stop_12,12
naha7_trip_21,13:04:00,13:04:00,naha7_stop_13,13
naha7_trip_21,13:04:00,13:04:00,naha7_stop_14,14
naha7_trip_21,13:04:00,13:04:00,naha7_stop_15,15
naha7_trip_21,13:04:00,13:04:00,naha7_stop_16,16
naha7_trip_21,13:04:00,13:04:00,naha7_stop_17,17
naha7_trip_21,13:04:00,13:04:00,naha7_stop_18,18
naha7_trip_21,13:04:00,13:04:00,S3245,19
naha7_trip_21,13:04:00,13:04:00,naha7_stop_20,20
naha7_trip_21,13:04:00,13:04:00,naha7_stop_21,21
naha7_trip_21,13:04:00,13:04:00,naha7_stop_22,22
naha7_trip_21,13:04:00,13:04:00,naha7_stop_23,23
naha7_trip_21,13:04:00,13:04:00,S3399,24
naha7_trip_21,13:04:00,13:04:00,naha7_stop_25,25
naha7_trip_21,13:04:00,13:04:00,naha7_stop_26,26
naha7_trip_21,13:04:00,13:04:00,naha7_stop_27,27
naha7_trip_21,13:04:00,13:04:00,naha7_stop_28,28
naha7_trip_21,13:04:00,13:04:00,naha7_stop_29,29
naha7_trip_21,13:04:00,13:04:00,S3342,30
naha7_trip_21,13:04:00,13:04:00,naha7_stop_31,31
naha7_trip_21,13:04:00,13:04:00,naha7_stop_32,32
naha7_trip_21,13:04:00,13:04:00,naha7_stop_33,33
naha7_trip_21,13:04:00,13:04:00,S4397,34
naha7_trip_21,13:04:00,13:04:00,naha7_stop_35,35
naha7_trip_21,13:04:00,13:04:00,naha7_stop_36,36
naha7_trip_21,13:04:00,13:04:00,S3203,37
naha7_trip_21,13:04:00,13:04:00,naha7_stop_38,38
naha7_trip_22,14:15:00,14:15:00,naha7_stop_1,1
naha7_trip_22,14:15:00,14:15:00,naha7_stop_2,2
naha7_trip_22,14:15:00,14:15:00,naha7_stop_3,3
naha7_trip_22,14:15:00,14:15:00,naha7_stop_4,4
naha7_trip_22,14:15:00,14:15:00,S4350,5
naha7_trip_22,14:15:00,14:15:00,S3594,6
naha7_trip_22,14:15:00,14:15:00,naha7_stop_7,7
naha7_trip_22,14:15:00,14:15:00,naha7_stop_8,8
naha7_trip_22,14:15:00,14:15:00,naha7_stop_9,9
naha7_trip_22,14:15:00,14:15:00,naha7_stop_10,10
naha7_trip_22,14:15:00,14:15:00,naha7_stop_11,11
naha7_trip_22,14:15:00,14:15:00,naha7_stop_12,12
naha7_trip_22,14:15:00,14:15:00,naha7_stop_13,13
naha7_trip_22,14:15:00,14:15:00,naha7_stop_14,14
naha7_trip_22,14:15:00,14:15:00,naha7_stop_15,15
naha7_trip_22,14:15:00,14:15:00,naha7_stop_16,16
naha7_trip_22,14:15:00,14:15:00,naha7_stop_17,17
naha7_trip_22,14:15:00,14:15:00,naha7_stop_18,18
naha7_trip_22,14:15:00,14:15:00,S3245,19
naha7_trip_22,14:15:00,14:15:00,naha7_stop_20,20
naha7_trip_22,14:15:00,14:15:00,naha7_stop_21,21
naha7_trip_22,14:15:00,14:15:00,naha7_stop_22,22
naha7_trip_22,14:15:00,14:15:00,naha7_stop_23,23
naha7_trip_22,14:15:00,14:15:00,S3399,24
naha7_trip_22,14:15:00,14:15:00,naha7_stop_25,25
naha7_trip_22,14:15:00,14:15:00,naha7_stop_26,26
naha7_trip_22,14:15:00,14:15:00,naha7_stop_27,27
naha7_trip_22,14:15:00,14:15:00,naha7_stop_28,28
naha7_trip_22,14:15:00,14:15:00,naha7_stop_29,29
naha7_trip_22,14:15:00,14:15:00,S3342,30
naha7_trip_22,14:15:00,14:15:00,naha7_stop_31,31
naha7_trip_22,14:15:00,14:15:00,naha7_stop_32,32
naha7_trip_22,14:15:00,14:15:00,naha7_stop_33,33
naha7_trip_22,14:15:00,14:15:00,S4397,34
naha7_trip_22,14:15:00,14:15:00,naha7_stop_35,35
naha7_trip_22,14:15:00,14:15:00,naha7_stop_36,36
naha7_trip_22,14:15:00,14:15:00,S3203,37
naha7_trip_22,14:15:00,14:15:00,naha7_stop_38,38
naha7_trip_23,15:10:00,15:10:00,naha7_stop_1,1
naha7_trip_23,15:10:00,15:10:00,naha7_stop_2,2
naha7_trip_23,15:10:00,15:10:00,naha7_stop_3,3
naha7_trip_23,15:10:00,15:10:00,naha7_stop_4,4
naha7_trip_23,15:10:00,15:10:00,S4350,5
naha7_trip_23,15:10:00,15:10:00,S3594,6
naha7_trip_23,15:10:00,15:10:00,naha7_stop_7,7
naha7_trip_23,15:10:00,15:10:00,naha7_stop_8,8
naha7_trip_23,15:10:00,15:10:00,naha7_stop_9,9
naha7_trip_23,15:10:00,15:10:00,naha7_stop_10,10
naha7_trip_23,15:10:00,15:10:00,naha7_stop_11,11
naha7_trip_23,15:10:00,15:10:00,naha7_stop_12,12
naha7_trip_23,15:10:00,15:10:00,naha7_stop_13,13
naha7_trip_23,15:10:00,15:10:00,naha7_stop_14,14
naha7_trip_23,15:10:00,15:10:00,naha7_stop_15,15
naha7_trip_23,15:10:00,15:10:00,naha7_stop_16,16
naha7_trip_23,15:10:00,15:10:00,naha7_stop_17,17
naha7_trip_23,15:10:00,15:10:00,naha7_stop_18,18
naha7_trip_23,15:10:00,15:10:00,S3245,19
naha7_trip_23,15:10:00,15:10:00,naha7_stop_20,20
naha7_trip_23,15:10:00,15:10:00,naha7_stop_21,21
naha7_trip_23,15:10:00,15:10:00,naha7_stop_22,22
naha7_trip_23,15:10:00,15:10:00,naha7_stop_23,23
naha7_trip_23,15:10:00,15:10:00,S3399,24
naha7_trip_23,15:10:00,15:10:00,naha7_stop_25,25
naha7_trip_23,15:10:00,15:10:00,naha7_stop_26,26
naha7_trip_23,15:10:00,15:10:00,naha7_stop_27,27
naha7_trip_23,15:10:00,15:10:00,naha7_stop_28,28
naha7_trip_23,15:10:00,15:10:00,naha7_stop_29,29
naha7_trip_23,15:10:00,15:10:00,S3342,30
naha7_trip_23,15:10:00,15:10:00,naha7_stop_31,31
naha7_trip_23,15:10:00,15:10:00,naha7_stop_32,32
naha7_trip_23,15:10:00,15:10:00,naha7_stop_33,33
naha7_trip_23,15:10:00,15:10:00,S4397,34
naha7_trip_23,15:10:00,15:10:00,naha7_stop_35,35
naha7_trip_23,15:10:00,15:10:00,naha7_stop_36,36
naha7_trip_23,15:10:00,15:10:00,S3203,37
naha7_trip_23,15:10:00,15:10:00,naha7_stop_38,38
naha7_trip_24,16:05:00,16:05:00,naha7_stop_1,1
naha7_trip_24,16:05:00,16:05:00,naha7_stop_2,2
naha7_trip_24,16:05:00,16:05:00,naha7_stop_3,3
naha7_trip_24,16:05:00,16:05:00,naha7_stop_4,4
naha7_trip_24,16:05:00,16:05:00,S4350,5
naha7_trip_24,16:05:00,16:05:00,S3594,6
naha7_trip_24,16:05:00,16:05:00,naha7_stop_7,7
naha7_trip_24,16:05:00,16:05:00,naha7_stop_8,8
naha7_trip_24,16:05:00,16:05:00,naha7_stop_9,9
naha7_trip_24,16:05:00,16:05:00,naha7_stop_10,10
naha7_trip_24,16:05:00,16:05:00,naha7_stop_11,11
naha7_trip_24,16:05:00,16:05:00,naha7_stop_12,12
naha7_trip_24,16:05:00,16:05:00,naha7_stop_13,13
naha7_trip_24,16:05:00,16:05:00,naha7_stop_14,14
naha7_trip_24,16:05:00,16:05:00,naha7_stop_15,15
naha7_trip_24,16:05:00,16:05:00,naha7_stop_16,16
naha7_trip_24,16:05:00,16:05:00,naha7_stop_17,17
naha7_trip_24,16:05:00,16:05:00,naha7_stop_18,18
naha7_trip_24,16:05:00,16:05:00,S3245,19
naha7_trip_24,16:05:00,16:05:00,naha7_stop_20,20
naha7_trip_24,16:05:00,16:05:00,naha7_stop_21,21
naha7_trip_24,16:05:00,16:05:00,naha7_stop_22,22
naha7_trip_24,16:05:00,16:05:00,naha7_stop_23,23
