trip_id,arrival_time,departure_time,stop_id,stop_sequence
naha112_trip_8,07:41:00,07:41:00,S3619,62
naha112_trip_8,07:41:00,07:41:00,naha112_stop_63,63
naha112_trip_9,08:34:00,08:34:00,naha112_stop_1,1
naha112_trip_9,08:34:00,08:34:00,S3203,2
naha112_trip_9,08:34:00,08:34:00,S4127,3
naha112_trip_9,08:34:00,08:34:00,S3394,4
naha112_trip_9,08:34:00,08:34:00,S4137,5
naha112_trip_9,08:34:00,08:34:00,S3466,6
naha112_trip_9,08:34:00,08:34:00,S3813,7
naha112_trip_9,08:34:00,08:34:00,S3988,8
naha112_trip_9,08:34:00,08:34:00,S2787,9
naha112_trip_9,08:34:00,08:34:00,S2789,10
naha112_trip_9,08:34:00,08:34:00,S3582,11
naha112_trip_9,08:34:00,08:34:00,S3810,12
naha112_trip_9,08:34:00,08:34:00,S3949,13
naha112_trip_9,08:34:00,08:34:00,S3107,14
naha112_trip_9,08:34:00,08:34:00,S2972,15
naha112_trip_9,08:34:00,08:34:00,S3475,16
naha112_trip_9,08:34:00,08:34:00,naha112_stop_17,17
naha112_trip_9,08:34:00,08:34:00,S3250,18
naha112_trip_9,08:34:00,08:34:00,S3817,19
naha112_trip_9,08:34:00,08:34:00,S4280,20
naha112_trip_9,08:34:00,08:34:00,S2875,21
naha112_trip_9,08:34:00,08:34:00,S3731,22
naha112_trip_9,08:34:00,08:34:00,S3527,23
naha112_trip_9,08:34:00,08:34:00,S3801,24
naha112_trip_9,08:34:00,08:34:00,S3726,25
naha112_trip_9,08:34:00,08:34:00,S2804,26
naha112_trip_9,08:34:00,08:34:00,naha112_stop_27,27
naha112_trip_9,08:34:00,08:34:00,S3486,28
naha112_trip_9,08:34:00,08:34:00,naha112_stop_29,29
naha112_trip_9,08:34:00,08:34:00,S4196,30
naha112_trip_9,08:34:00,08:34:00,1027_01,31
naha112_trip_9,08:34:00,08:34:00,S4203,32
naha112_trip_9,08:34:00,08:34:00,S3554,33
naha112_trip_9,08:34:00,08:34:00,S3756,34
naha112_trip_9,08:34:00,08:34:00,S2965,35
naha112_trip_9,08:34:00,08:34:00,S4155,36
naha112_trip_9,08:34:00,08:34:00,S2742,37
naha112_trip_9,08:34:00,08:34:00,S4785,38
naha112_trip_9,08:34:00,08:34:00,S3410,39
naha112_trip_9,08:34:00,08:34:00,S2904,40
naha112_trip_9,08:34:00,08:34:00,S3912,41
naha112_trip_9,08:34:00,08:34:00,S2458,42
naha112_trip_9,08:34:00,08:34:00,S2989,43
naha112_trip_9,08:34:00,08:34:00,S2779,44
naha112_trip_9,08:34:00,08:34:00,S2721,45
naha112_trip_9,08:34:00,08:34:00,S3081,46
naha112_trip_9,08:34:00,08:34:00,S4171,47
naha112_trip_9,08:34:00,08:34:00,S4167,48
naha112_trip_9,08:34:00,08:34:00,S3246,49
naha112_trip_9,08:34:00,08:34:00,naha112_stop_50,50
naha112_trip_9,08:34:00,08:34:00,S3935,51
naha112_trip_9,08:34:00,08:34:00,S3365,52
naha112_trip_9,08:34:00,08:34:00,S3052,53
naha112_trip_9,08:34:00,08:34:00,S3468,54
naha112_trip_9,08:34:00,08:34:00,S4231,55
naha112_trip_9,08:34:00,08:34:00,S3169,56
naha112_trip_9,08:34:00,08:34:00,S3930,57
naha112_trip_9,08:34:00,08:34:00,S2782,58
naha112_trip_9,08:34:00,08:34:00,naha112_stop_59,59
naha112_trip_9,08:34:00,08:34:00,naha112_stop_60,60
naha112_trip_9,08:34:00,08:34:00,naha112_stop_61,61
naha112_trip_9,08:34:00,08:34:00,S3619,62
naha112_trip_9,08:34:00,08:34:00,naha112_stop_63,63
naha112_trip_10,09:12:00,09:12:00,naha112_stop_1,1
naha112_trip_10,09:12:00,09:12:00,S3203,2
naha112_trip_10,09:12:00,09:12:00,S4127,3
naha112_trip_10,09:12:00,09:12:00,S3394,4
naha112_trip_10,09:12:00,09:12:00,S4137,5
naha112_trip_10,09:12:00,09:12:00,S3466,6
naha112_trip_10,09:12:00,09:12:00,S3813,7
naha112_trip_10,09:12:00,09:12:00,S3988,8
naha112_trip_10,09:12:00,09:12:00,S2787,9
naha112_trip_10,09:12:00,09:12:00,S2789,10
naha112_trip_10,09:12:00,09:12:00,S3582,11
naha112_trip_10,09:12:00,09:12:00,S3810,12
naha112_trip_10,09:12:00,09:12:00,S3949,13
naha112_trip_10,09:12:00,09:12:00,S3107,14
naha112_trip_10,09:12:00,09:12:00,S2972,15
naha112_trip_10,09:12:00,09:12:00,S3475,16
naha112_trip_10,09:12:00,09:12:00,naha112_stop_17,17
naha112_trip_10,09:12:00,09:12:00,S3250,18
naha112_trip_10,09:12:00,09:12:00,S3817,19
naha112_trip_10,09:12:00,09:12:00,S4280,20
naha112_trip_10,09:12:00,09:12:00,S2875,21
naha112_trip_10,09:12:00,09:12:00,S3731,22
naha112_trip_10,09:12:00,09:12:00,S3527,23
naha112_trip_10,09:12:00,09:12:00,S3801,24
naha112_trip_10,09:12:00,09:12:00,S3726,25
naha112_trip_10,09:12:00,09:12:00,S2804,26
naha112_trip_10,09:12:00,09:12:00,naha112_stop_27,27
naha112_trip_10,09:12:00,09:12:00,S3486,28
naha112_trip_10,09:12:00,09:12:00,naha112_stop_29,29
naha112_trip_10,09:12:00,09:12:00,S4196,30
naha112_trip_10,09:12:00,09:12:00,1027_01,31
naha112_trip_10,09:12:00,09:12:00,S4203,32
naha112_trip_10,09:12:00,09:12:00,S3554,33
naha112_trip_10,09:12:00,09:12:00,S3756,34
naha112_trip_10,09:12:00,09:12:00,S2965,35
naha112_trip_10,09:12:00,09:12:00,S4155,36
naha112_trip_10,09:12:00,09:12:00,S2742,37
naha112_trip_10,09:12:00,09:12:00,S4785,38
naha112_trip_10,09:12:00,09:12:00,S3410,39
naha112_trip_10,09:12:00,09:12:00,S2904,40
naha112_trip_10,09:12:00,09:12:00,S3912,41
naha112_trip_10,09:12:00,09:12:00,S2458,42
naha112_trip_10,09:12:00,09:12:00,S2989,43
naha112_trip_10,09:12:00,09:12:00,S2779,44
naha112_trip_10,09:12:00,09:12:00,S2721,45
naha112_trip_10,09:12:00,09:12:00,S3081,46
naha112_trip_10,09:12:00,09:12:00,S4171,47
naha112_trip_10,09:12:00,09:12:00,S4167,48
naha112_trip_10,09:12:00,09:12:00,S3246,49
naha112_trip_10,09:12:00,09:12:00,naha112_stop_50,50
naha112_trip_10,09:12:00,09:12:00,S3935,51
naha112_trip_10,09:12:00,09:12:00,S3365,52
naha112_trip_10,09:12:00,09:12:00,S3052,53
naha112_trip_10,09:12:00,09:12:00,S3468,54
naha112_trip_10,09:12:00,09:12:00,S4231,55
naha112_trip_10,09:12:00,09:12:00,S3169,56
naha112_trip_10,09:12:00,09:12:00,S3930,57
naha112_trip_10,09:12:00,09:12:00,S2782,58
naha112_trip_10,09:12:00,09:12:00,naha112_stop_59,59
naha112_trip_10,09:12:00,09:12:00,naha112_stop_60,60
naha112_trip_10,09:12:00,09:12:00,naha112_stop_61,61
naha112_trip_10,09:12:00,09:12:00,S3619,62
naha112_trip_10,09:12:00,09:12:00,naha112_stop_63,63
naha112_trip_11,14:58:00,14:58:00,naha112_stop_1,1
naha112_trip_11,14:58:00,14:58:00,S3203,2
naha112_trip_11,14:58:00,14:58:00,S4127,3
naha112_trip_11,14:58:00,14:58:00,S3394,4
naha112_trip_11,14:58:00,14:58:00,S4137,5
naha112_trip_11,14:58:00,14:58:00,S3466,6
naha112_trip_11,14:58:00,14:58:00,S3813,7
naha112_trip_11,14:58:00,14:58:00,S3988,8
naha112_trip_11,14:58:00,14:58:00,S2787,9
naha112_trip_11,14:58:00,14:58:00,S2789,10
naha112_trip_11,14:58:00,14:58:00,S3582,11
naha112_trip_11,14:58:00,14:58:00,S3810,12
naha112_trip_11,14:58:00,14:58:00,S3949,13
naha112_trip_11,14:58:00,14:58:00,S3107,14
naha112_trip_11,14:58:00,14:58:00,S2972,15
naha112_trip_11,14:58:00,14:58:00,S3475,16
naha112_trip_11,14:58:00,14:58:00,naha112_stop_17,17
naha112_trip_11,14:58:00,14:58:00,S3250,18
naha112_trip_11,14:58:00,14:58:00,S3817,19
naha112_trip_11,14:58:00,14:58:00,S4280,20
naha112_trip_11,14:58:00,14:58:00,S2875,21
naha112_trip_11,14:58:00,14:58:00,S3731,22
naha112_trip_11,14:58:00,14:58:00,S3527,23
naha112_trip_11,14:58:00,14:58:00,S3801,24
naha112_trip_11,14:58:00,14:58:00,S3726,25
naha112_trip_11,14:58:00,14:58:00,S2804,26
naha112_trip_11,14:58:00,14:58:00,naha112_stop_27,27
naha112_trip_11,14:58:00,14:58:00,S3486,28
naha112_trip_11,14:58:00,14:58:00,naha112_stop_29,29
naha112_trip_11,14:58:00,14:58:00,S4196,30
naha112_trip_11,14:58:00,14:58:00,1027_01,31
naha112_trip_11,14:58:00,14:58:00,S4203,32
naha112_trip_11,14:58:00,14:58:00,S3554,33
naha112_trip_11,14:58:00,14:58:00,S3756,34
naha112_trip_11,14:58:00,14:58:00,S2965,35
naha112_trip_11,14:58:00,14:58:00,S4155,36
naha112_trip_11,14:58:00,14:58:00,S2742,37
naha112_trip_11,14:58:00,14:58:00,S4785,38
naha112_trip_11,14:58:00,14:58:00,S3410,39
naha112_trip_11,14:58:00,14:58:00,S2904,40
naha112_trip_11,14:58:00,14:58:00,S3912,41
naha112_trip_11,14:58:00,14:58:00,S2458,42
naha112_trip_11,14:58:00,14:58:00,S2989,43
naha112_trip_11,14:58:00,14:58:00,S2779,44
naha112_trip_11,14:58:00,14:58:00,S2721,45
naha112_trip_11,14:58:00,14:58:00,S3081,46
naha112_trip_11,14:58:00,14:58:00,S4171,47
naha112_trip_11,14:58:00,14:58:00,S4167,48
naha112_trip_11,14:58:00,14:58:00,S3246,49
naha112_trip_11,14:58:00,14:58:00,naha112_stop_50,50
naha112_trip_11,14:58:00,14:58:00,S3935,51
naha112_trip_11,14:58:00,14:58:00,S3365,52
naha112_trip_11,14:58:00,14:58:00,S3052,53
naha112_trip_11,14:58:00,14:58:00,S3468,54
naha112_trip_11,14:58:00,14:58:00,S4231,55
naha112_trip_11,14:58:00,14:58:00,S3169,56
naha112_trip_11,14:58:00,14:58:00,S3930,57
naha112_trip_11,14:58:00,14:58:00,S2782,58
naha112_trip_11,14:58:00,14:58:00,naha112_stop_59,59
naha112_trip_11,14:58:00,14:58:00,naha112_stop_60,60
naha112_trip_11,14:58:00,14:58:00,naha112_stop_61,61
naha112_trip_11,14:58:00,14:58:00,S3619,62
naha112_trip_11,14:58:00,14:58:00,naha112_stop_63,63
naha112_trip_12,15:35:00,15:35:00,naha112_stop_1,1
naha112_trip_12,15:35:00,15:35:00,S3203,2
naha112_trip_12,15:35:00,15:35:00,S4127,3
naha112_trip_12,15:35:00,15:35:00,S3394,4
naha112_trip_12,15:35:00,15:35:00,S4137,5
naha112_trip_12,15:35:00,15:35:00,S3466,6
naha112_trip_12,15:35:00,15:35:00,S3813,7
naha112_trip_12,15:35:00,15:35:00,S3988,8
naha112_trip_12,15:35:00,15:35:00,S2787,9
naha112_trip_12,15:35:00,15:35:00,S2789,10
naha112_trip_12,15:35:00,15:35:00,S3582,11
naha112_trip_12,15:35:00,15:35:00,S3810,12
naha112_trip_12,15:35:00,15:35:00,S3949,13
naha112_trip_12,15:35:00,15:35:00,S3107,14
naha112_trip_12,15:35:00,15:35:00,S2972,15
naha112_trip_12,15:35:00,15:35:00,S3475,16
naha112_trip_12,15:35:00,15:35:00,naha112_stop_17,17
naha112_trip_12,15:35:00,15:35:00,S3250,18
naha112_trip_12,15:35:00,15:35:00,S3817,19
naha112_trip_12,15:35:00,15:35:00,S4280,20
naha112_trip_12,15:35:00,15:35:00,S2875,21
naha112_trip_12,15:35:00,15:35:00,S3731,22
naha112_trip_12,15:35:00,15:35:00,S3527,23
naha112_trip_12,15:35:00,15:35:00,S3801,24
naha112_trip_12,15:35:00,15:35:00,S3726,25
naha112_trip_12,15:35:00,15:35:00,S2804,26
naha112_trip_12,15:35:00,15:35:00,naha112_stop_27,27
naha112_trip_12,15:35:00,15:35:00,S3486,28
naha112_trip_12,15:35:00,15:35:00,naha112_stop_29,29
naha112_trip_12,15:35:00,15:35:00,S4196,30
naha112_trip_12,15:35:00,15:35:00,1027_01,31
naha112_trip_12,15:35:00,15:35:00,S4203,32
naha112_trip_12,15:35:00,15:35:00,S3554,33
naha112_trip_12,15:35:00,15:35:00,S3756,34
naha112_trip_12,15:35:00,15:35:00,S2965,35
naha112_trip_12,15:35:00,15:35:00,S4155,36
naha112_trip_12,15:35:00,15:35:00,S2742,37
naha112_trip_12,15:35:00,15:35:00,S4785,38
naha112_trip_12,15:35:00,15:35:00,S3410,39
naha112_trip_12,15:35:00,15:35:00,S2904,40
naha112_trip_12,15:35:00,15:35:00,S3912,41
naha112_trip_12,15:35:00,15:35:00,S2458,42
naha112_trip_12,15:35:00,15:35:00,S2989,43
naha112_trip_12,15:35:00,15:35:00,S2779,44
naha112_trip_12,15:35:00,15:35:00,S2721,45
naha112_trip_12,15:35:00,15:35:00,S3081,46
naha112_trip_12,15:35:00,15:35:00,S4171,47
naha112_trip_12,15:35:00,15:35:00,S4167,48
naha112_trip_12,15:35:00,15:35:00,S3246,49
naha112_trip_12,15:35:00,15:35:00,naha112_stop_50,50
naha112_trip_12,15:35:00,15:35:00,S3935,51
naha112_trip_12,15:35:00,15:35:00,S3365,52
naha112_trip_12,15:35:00,15:35:00,S3052,53
naha112_trip_12,15:35:00,15:35:00,S3468,54
naha112_trip_12,15:35:00,15:35:00,S4231,55
naha112_trip_12,15:35:00,15:35:00,S3169,56
naha112_trip_12,15:35:00,15:35:00,S3930,57
naha112_trip_12,15:35:00,15:35:00,S2782,58
naha112_trip_12,15:35:00,15:35:00,naha112_stop_59,59
naha112_trip_12,15:35:00,15:35:00,naha112_stop_60,60
naha112_trip_12,15:35:00,15:35:00,naha112_stop_61,61
naha112_trip_12,15:35:00,15:35:00,S3619,62
naha112_trip_12,15:35:00,15:35:00,naha112_stop_63,63
naha112_trip_13,17:29:00,17:29:00,naha112_stop_1,1
naha112_trip_13,17:29:00,17:29:00,S3203,2
naha112_trip_13,17:29:00,17:29:00,S4127,3
naha112_trip_13,17:29:00,17:29:00,S3394,4
naha112_trip_13,17:29:00,17:29:00,S4137,5
naha112_trip_13,17:29:00,17:29:00,S3466,6
naha112_trip_13,17:29:00,17:29:00,S3813,7
naha112_trip_13,17:29:00,17:29:00,S3988,8
naha112_trip_13,17:29:00,17:29:00,S2787,9
naha112_trip_13,17:29:00,17:29:00,S2789,10
naha112_trip_13,17:29:00,17:29:00,S3582,11
naha112_trip_13,17:29:00,17:29:00,S3810,12
naha112_trip_13,17:29:00,17:29:00,S3949,13
naha112_trip_13,17:29:00,17:29:00,S3107,14
naha112_trip_13,17:29:00,17:29:00,S2972,15
naha112_trip_13,17:29:00,17:29:00,S3475,16
naha112_trip_13,17:29:00,17:29:00,naha112_stop_17,17
naha112_trip_13,17:29:00,17:29:00,S3250,18
naha112_trip_13,17:29:00,17:29:00,S3817,19
naha112_trip_13,17:29:00,17:29:00,S4280,20
naha112_trip_13,17:29:00,17:29:00,S2875,21
naha112_trip_13,17:29:00,17:29:00,S3731,22
naha112_trip_13,17:29:00,17:29:00,S3527,23
naha112_trip_13,17:29:00,17:29:00,S3801,24
naha112_trip_13,17:29:00,17:29:00,S3726,25
naha112_trip_13,17:29:00,17:29:00,S2804,26
naha112_trip_13,17:29:00,17:29:00,naha112_stop_27,27
naha112_trip_13,17:29:00,17:29:00,S3486,28
naha112_trip_13,17:29:00,17:29:00,naha112_stop_29,29
naha112_trip_13,17:29:00,17:29:00,S4196,30
naha112_trip_13,17:29:00,17:29:00,1027_01,31
naha112_trip_13,17:29:00,17:29:00,S4203,32
naha112_trip_13,17:29:00,17:29:00,S3554,33
naha112_trip_13,17:29:00,17:29:00,S3756,34
naha112_trip_13,17:29:00,17:29:00,S2965,35
naha112_trip_13,17:29:00,17:29:00,S4155,36
naha112_trip_13,17:29:00,17:29:00,S2742,37
naha112_trip_13,17:29:00,17:29:00,S4785,38
naha112_trip_13,17:29:00,17:29:00,S3410,39
naha112_trip_13,17:29:00,17:29:00,S2904,40
naha112_trip_13,17:29:00,17:29:00,S3912,41
naha112_trip_13,17:29:00,17:29:00,S2458,42
naha112_trip_13,17:29:00,17:29:00,S2989,43
naha112_trip_13,17:29:00,17:29:00,S2779,44
naha112_trip_13,17:29:00,17:29:00,S2721,45
naha112_trip_13,17:29:00,17:29:00,S3081,46
naha112_trip_13,17:29:00,17:29:00,S4171,47
naha112_trip_13,17:29:00,17:29:00,S4167,48
naha112_trip_13,17:29:00,17:29:00,S3246,49
naha112_trip_13,17:29:00,17:29:00,naha112_stop_50,50
naha112_trip_13,17:29:00,17:29:00,S3935,51
naha112_trip_13,17:29:00,17:29:00,S3365,52
naha112_trip_13,17:29:00,17:29:00,S3052,53
naha112_trip_13,17:29:00,17:29:00,S3468,54
naha112_trip_13,17:29:00,17:29:00,S4231,55
naha112_trip_13,17:29:00,17:29:00,S3169,56
naha112_trip_13,17:29:00,17:29:00,S3930,57
naha112_trip_13,17:29:00,17:29:00,S2782,58
naha112_trip_13,17:29:00,17:29:00,naha112_stop_59,59
naha112_trip_13,17:29:00,17:29:00,naha112_stop_60,60
naha112_trip_13,17:29:00,17:29:00,naha112_stop_61,61
naha112_trip_13,17:29:00,17:29:00,S3619,62
naha112_trip_13,17:29:00,17:29:00,naha112_stop_63,63
naha112_trip_14,18:06:00,18:06:00,naha112_stop_1,1
naha112_trip_14,18:06:00,18:06:00,S3203,2
naha112_trip_14,18:06:00,18:06:00,S4127,3
naha112_trip_14,18:06:00,18:06:00,S3394,4
naha112_trip_14,18:06:00,18:06:00,S4137,5
naha112_trip_14,18:06:00,18:06:00,S3466,6
naha112_trip_14,18:06:00,18:06:00,S3813,7
naha112_trip_14,18:06:00,18:06:00,S3988,8
naha112_trip_14,18:06:00,18:06:00,S2787,9
naha112_trip_14,18:06:00,18:06:00,S2789,10
naha112_trip_14,18:06:00,18:06:00,S3582,11
naha112_trip_14,18:06:00,18:06:00,S3810,12
naha112_trip_14,18:06:00,18:06:00,S3949,13
naha112_trip_14,18:06:00,18:06:00,S3107,14
naha112_trip_14,18:06:00,18:06:00,S2972,15
naha112_trip_14,18:06:00,18:06:00,S3475,16
naha112_trip_14,18:06:00,18:06:00,naha112_stop_17,17
naha112_trip_14,18:06:00,18:06:00,S3250,18
naha112_trip_14,18:06:00,18:06:00,S3817,19
naha112_trip_14,18:06:00,18:06:00,S4280,20
naha112_trip_14,18:06:00,18:06:00,S2875,21
naha112_trip_14,18:06:00,18:06:00,S3731,22
naha112_trip_14,18:06:00,18:06:00,S3527,23
naha112_trip_14,18:06:00,18:06:00,S3801,24
naha112_trip_14,18:06:00,18:06:00,S3726,25
naha112_trip_14,18:06:00,18:06:00,S2804,26
naha112_trip_14,18:06:00,18:06:00,naha112_stop_27,27
naha112_trip_14,18:06:00,18:06:00,S3486,28
naha112_trip_14,18:06:00,18:06:00,naha112_stop_29,29
naha112_trip_14,18:06:00,18:06:00,S4196,30
naha112_trip_14,18:06:00,18:06:00,1027_01,31
naha112_trip_14,18:06:00,18:06:00,S4203,32
naha112_trip_14,18:06:00,18:06:00,S3554,33
naha112_trip_14,18:06:00,18:06:00,S3756,34
naha112_trip_14,18:06:00,18:06:00,S2965,35
naha112_trip_14,18:06:00,18:06:00,S4155,36
naha112_trip_14,18:06:00,18:06:00,S2742,37
naha112_trip_14,18:06:00,18:06:00,S4785,38
naha112_trip_14,18:06:00,18:06:00,S3410,39
naha112_trip_14,18:06:00,18:06:00,S2904,40
naha112_trip_14,18:06:00,18:06:00,S3912,41
naha112_trip_14,18:06:00,18:06:00,S2458,42
naha112_trip_14,18:06:00,18:06:00,S2989,43
naha112_trip_14,18:06:00,18:06:00,S2779,44
naha112_trip_14,18:06:00,18:06:00,S2721,45
naha112_trip_14,18:06:00,18:06:00,S3081,46
naha112_trip_14,18:06:00,18:06:00,S4171,47
naha112_trip_14,18:06:00,18:06:00,S4167,48
naha112_trip_14,18:06:00,18:06:00,S3246,49
naha112_trip_14,18:06:00,18:06:00,naha112_stop_50,50
naha112_trip_14,18:06:00,18:06:00,S3935,51
naha112_trip_14,18:06:00,18:06:00,S3365,52
naha112_trip_14,18:06:00,18:06:00,S3052,53
naha112_trip_14,18:06:00,18:06:00,S3468,54
naha112_trip_14,18:06:00,18:06:00,S4231,55
naha112_trip_14,18:06:00,18:06:00,S3169,56
naha112_trip_14,18:06:00,18:06:00,S3930,57
naha112_trip_14,18:06:00,18:06:00,S2782,58
naha112_trip_14,18:06:00,18:06:00,naha112_stop_59,59
naha112_trip_14,18:06:00,18:06:00,naha112_stop_60,60
naha112_trip_14,18:06:00,18:06:00,naha112_stop_61,61
naha112_trip_14,18:06:00,18:06:00,S3619,62
naha112_trip_14,18:06:00,18:06:00,naha112_stop_63,63
naha112_trip_15,20:28:00,20:28:00,naha112_stop_1,1
naha112_trip_15,20:28:00,20:28:00,S3203,2
naha112_trip_15,20:28:00,20:28:00,S4127,3
naha112_trip_15,20:28:00,20:28:00,S3394,4
naha112_trip_15,20:28:00,20:28:00,S4137,5
naha112_trip_15,20:28:00,20:28:00,S3466,6
naha112_trip_15,20:28:00,20:28:00,S3813,7
naha112_trip_15,20:28:00,20:28:00,S3988,8
naha112_trip_15,20:28:00,20:28:00,S2787,9
naha112_trip_15,20:28:00,20:28:00,S2789,10
naha112_trip_15,20:28:00,20:28:00,S3582,11
naha112_trip_15,20:28:00,20:28:00,S3810,12
naha112_trip_15,20:28:00,20:28:00,S3949,13
naha112_trip_15,20:28:00,20:28:00,S3107,14
naha112_trip_15,20:28:00,20:28:00,S2972,15
naha112_trip_15,20:28:00,20:28:00,S3475,16
naha112_trip_15,20:28:00,20:28:00,naha112_stop_17,17
naha112_trip_15,20:28:00,20:28:00,S3250,18
naha112_trip_15,20:28:00,20:28:00,S3817,19
naha112_trip_15,20:28:00,20:28:00,S4280,20
naha112_trip_15,20:28:00,20:28:00,S2875,21
naha112_trip_15,20:28:00,20:28:00,S3731,22
naha112_trip_15,20:28:00,20:28:00,S3527,23
naha112_trip_15,20:28:00,20:28:00,S3801,24
naha112_trip_15,20:28:00,20:28:00,S3726,25
naha112_trip_15,20:28:00,20:28:00,S2804,26
naha112_trip_15,20:28:00,20:28:00,naha112_stop_27,27
naha112_trip_15,20:28:00,20:28:00,S3486,28
naha112_trip_15,20:28:00,20:28:00,naha112_stop_29,29
naha112_trip_15,20:28:00,20:28:00,S4196,30
naha112_trip_15,20:28:00,20:28:00,1027_01,31
naha112_trip_15,20:28:00,20:28:00,S4203,32
naha112_trip_15,20:28:00,20:28:00,S3554,33
naha112_trip_15,20:28:00,20:28:00,S3756,34
naha112_trip_15,20:28:00,20:28:00,S2965,35
naha112_trip_15,20:28:00,20:28:00,S4155,36
naha112_trip_15,20:28:00,20:28:00,S2742,37
naha112_trip_15,20:28:00,20:28:00,S4785,38
naha112_trip_15,20:28:00,20:28:00,S3410,39
naha112_trip_15,20:28:00,20:28:00,S2904,40
naha112_trip_15,20:28:00,20:28:00,S3912,41
naha112_trip_15,20:28:00,20:28:00,S2458,42
naha112_trip_15,20:28:00,20:28:00,S2989,43
naha112_trip_15,20:28:00,20:28:00,S2779,44
naha112_trip_15,20:28:00,20:28:00,S2721,45
naha112_trip_15,20:28:00,20:28:00,S3081,46
naha112_trip_15,20:28:00,20:28:00,S4171,47
naha112_trip_15,20:28:00,20:28:00,S4167,48
naha112_trip_15,20:28:00,20:28:00,S3246,49
naha112_trip_15,20:28:00,20:28:00,naha112_stop_50,50
naha112_trip_15,20:28:00,20:28:00,S3935,51
naha112_trip_15,20:28:00,20:28:00,S3365,52
naha112_trip_15,20:28:00,20:28:00,S3052,53
naha112_trip_15,20:28:00,20:28:00,S3468,54
naha112_trip_15,20:28:00,20:28:00,S4231,55
naha112_trip_15,20:28:00,20:28:00,S3169,56
naha112_trip_15,20:28:00,20:28:00,S3930,57
naha112_trip_15,20:28:00,20:28:00,S2782,58
naha112_trip_15,20:28:00,20:28:00,naha112_stop_59,59
naha112_trip_15,20:28:00,20:28:00,naha112_stop_60,60
naha112_trip_15,20:28:00,20:28:00,naha112_stop_61,61
naha112_trip_15,20:28:00,20:28:00,S3619,62
naha112_trip_15,20:28:00,20:28:00,naha112_stop_63,63
naha112_trip_16,08:05:00,08:05:00,naha112_stop_1,1
naha112_trip_16,08:05:00,08:05:00,S3203,2
naha112_trip_16,08:05:00,08:05:00,S4127,3
naha112_trip_16,08:05:00,08:05:00,S3394,4
naha112_trip_16,08:05:00,08:05:00,S4137,5
naha112_trip_16,08:05:00,08:05:00,S3466,6
naha112_trip_16,08:05:00,08:05:00,S3813,7
naha112_trip_16,08:05:00,08:05:00,S3988,8
naha112_trip_16,08:05:00,08:05:00,S2787,9
naha112_trip_16,08:05:00,08:05:00,S2789,10
naha112_trip_16,08:05:00,08:05:00,S3582,11
naha112_trip_16,08:05:00,08:05:00,S3810,12
naha112_trip_16,08:05:00,08:05:00,S3949,13
naha112_trip_16,08:05:00,08:05:00,S3107,14
naha112_trip_16,08:05:00,08:05:00,S2972,15
naha112_trip_16,08:05:00,08:05:00,S3475,16
naha112_trip_16,08:05:00,08:05:00,naha112_stop_17,17
naha112_trip_16,08:05:00,08:05:00,S3250,18
naha112_trip_16,08:05:00,08:05:00,S3817,19
naha112_trip_16,08:05:00,08:05:00,S4280,20
naha112_trip_16,08:05:00,08:05:00,S2875,21
naha112_trip_16,08:05:00,08:05:00,S3731,22
naha112_trip_16,08:05:00,08:05:00,S3527,23
naha112_trip_16,08:05:00,08:05:00,S3801,24
naha112_trip_16,08:05:00,08:05:00,S3726,25
naha112_trip_16,08:05:00,08:05:00,S2804,26
naha112_trip_16,08:05:00,08:05:00,naha112_stop_27,27
naha112_trip_16,08:05:00,08:05:00,S3486,28
naha112_trip_16,08:05:00,08:05:00,naha112_stop_29,29
naha112_trip_16,08:05:00,08:05:00,S4196,30
naha112_trip_16,08:05:00,08:05:00,1027_01,31
naha112_trip_16,08:05:00,08:05:00,S4203,32
naha112_trip_16,08:05:00,08:05:00,S3554,33
naha112_trip_16,08:05:00,08:05:00,S3756,34
naha112_trip_16,08:05:00,08:05:00,S2965,35
naha112_trip_16,08:05:00,08:05:00,S4155,36
naha112_trip_16,08:05:00,08:05:00,S2742,37
naha112_trip_16,08:05:00,08:05:00,S4785,38
naha112_trip_16,08:05:00,08:05:00,S3410,39
naha112_trip_16,08:05:00,08:05:00,S2904,40
naha112_trip_16,08:05:00,08:05:00,S3912,41
naha112_trip_16,08:05:00,08:05:00,S2458,42
naha112_trip_16,08:05:00,08:05:00,S2989,43
naha112_trip_16,08:05:00,08:05:00,S2779,44
naha112_trip_16,08:05:00,08:05:00,S2721,45
naha112_trip_16,08:05:00,08:05:00,S3081,46
naha112_trip_16,08:05:00,08:05:00,S4171,47
naha112_trip_16,08:05:00,08:05:00,S4167,48
naha112_trip_16,08:05:00,08:05:00,S3246,49
naha112_trip_16,08:05:00,08:05:00,naha112_stop_50,50
naha112_trip_16,08:05:00,08:05:00,S3935,51
naha112_trip_16,08:05:00,08:05:00,S3365,52
naha112_trip_16,08:05:00,08:05:00,S3052,53
naha112_trip_16,08:05:00,08:05:00,S3468,54
naha112_trip_16,08:05:00,08:05:00,S4231,55
naha112_trip_16,08:05:00,08:05:00,S3169,56
naha112_trip_16,08:05:00,08:05:00,S3930,57
naha112_trip_16,08:05:00,08:05:00,S2782,58
naha112_trip_16,08:05:00,08:05:00,naha112_stop_59,59
naha112_trip_16,08:05:00,08:05:00,naha112_stop_60,60
